Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Negative Regulation of TORC1 Signaling (GO:1904262)	1/49	0.04789811206941787	0.09476990017621988	0	0	21.855263157894736	66.41113333547993	PRKCA
Intracellular Signaling Cassette (GO:0141124)	2/354	0.04812526262493664	0.09476990017621988	0	0	6.195707070707071	18.797453256966755	BTK;PRKCA
Regulation of Interleukin-2 Production (GO:0032663)	1/50	0.04885254998202776	0.09476990017621988	0	0	21.408163265306122	64.63014669364038	PRKCA
Positive Regulation of Blood Vessel Endothelial Cell Migration (GO:0043536)	1/50	0.04885254998202776	0.09476990017621988	0	0	21.408163265306122	64.63014669364038	PRKCA
Positive Regulation of Fat Cell Differentiation (GO:0045600)	1/50	0.04885254998202776	0.09476990017621988	0	0	21.408163265306122	64.63014669364038	RARRES2
Epithelial to Mesenchymal Transition (GO:0001837)	1/51	0.04980607892472869	0.09476990017621988	0	0	20.978947368421053	62.92883309083605	NOTCH4
Regulation of Intracellular Transport (GO:0032386)	1/51	0.04980607892472869	0.09476990017621988	0	0	20.978947368421053	62.92883309083605	ATP9A
Regulation of Lipid Metabolic Process (GO:0019216)	1/51	0.04980607892472869	0.09476990017621988	0	0	20.978947368421053	62.92883309083605	RARRES2
Response to Glucose (GO:0009749)	1/51	0.04980607892472869	0.09476990017621988	0	0	20.978947368421053	62.92883309083605	PRKCA
Insulin Receptor Signaling Pathway (GO:0008286)	1/51	0.04980607892472869	0.09476990017621988	0	0	20.978947368421053	62.92883309083605	RARRES2
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	1/52	0.05075869973655116	0.09591643950217253	0	0	20.56656346749226	61.30218505418602	NDUFB5
Positive Regulation of B Cell Activation (GO:0050871)	1/53	0.05171041322818909	0.097045570030985	0	0	20.170040485829958	59.74559828701417	BTK
Cellular Response to BMP Stimulus (GO:0071773)	1/54	0.05266122021570595	0.09716993654090474	0	0	19.788480635551142	58.25483230121243	AMHR2
Plasma Membrane Bounded Cell Projection Morphogenesis (GO:0120039)	1/54	0.05266122021570595	0.09716993654090474	0	0	19.788480635551142	58.25483230121243	ATP9A
Protein Phosphorylation (GO:0006468)	2/373	0.052840585929178126	0.09716993654090474	0	0	5.872716382150345	17.26857987722905	BTK;PRKCA
Regulation of Cytokine Production Involved in Inflammatory Response (GO:1900015)	1/55	0.053611121517600016	0.09770896940050897	0	0	19.42105263157895	56.82597555721978	PRKCA
Positive Regulation of Leukocyte Chemotaxis (GO:0002690)	1/56	0.05456011794991924	0.09770896940050897	0	0	19.066985645933013	55.45541451142644	RARRES2
Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)	1/56	0.05456011794991924	0.09770896940050897	0	0	19.066985645933013	55.45541451142644	PRKCA
Regulation of Proteasomal Protein Catabolic Process (GO:0061136)	1/56	0.05456011794991924	0.09770896940050897	0	0	19.066985645933013	55.45541451142644	PRKCA
Regulation of Blood Vessel Endothelial Cell Migration (GO:0043535)	1/57	0.055508210323564476	0.09852725766003251	0	0	18.725563909774436	54.1398060702703	PRKCA
Peptidyl-Tyrosine Phosphorylation (GO:0018108)	1/58	0.05645539946213541	0.09852725766003251	0	0	18.39612188365651	52.87605301742885	BTK
Mesenchymal Cell Differentiation (GO:0048762)	1/58	0.05645539946213541	0.09852725766003251	0	0	18.39612188365651	52.87605301742885	NOTCH4
Muscle Organ Development (GO:0007517)	1/58	0.05645539946213541	0.09852725766003251	0	0	18.39612188365651	52.87605301742885	CHODL
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	1/59	0.05740168618341881	0.09891862902048273	0	0	18.078039927404717	51.661282065881295	NDUFB5
Response to Interleukin-1 (GO:0070555)	1/59	0.05740168618341881	0.09891862902048273	0	0	18.078039927404717	51.661282065881295	PRKCA
Oxidative Phosphorylation (GO:0006119)	1/60	0.058347071283324045	0.09929874243248937	0	0	17.770740410347905	50.492824203227855	NDUFB5
Positive Regulation of Cell Cycle (GO:0045787)	1/60	0.058347071283324045	0.09929874243248937	0	0	17.770740410347905	50.492824203227855	PRKCA
Phospholipid Transport (GO:0015914)	1/61	0.05929155559255767	0.10028324834790618	0	0	17.473684210526315	49.3681970360476	ATP9A
Regulation of Phagocytosis (GO:0050764)	1/62	0.06023513991903656	0.10125416158169337	0	0	17.186367558239862	48.28508895429952	PRKCA
Positive Regulation of Neurogenesis (GO:0050769)	1/64	0.062119611868771706	0.10192080031163742	0	0	16.639097744360903	46.23495322747936	CHODL
Positive Regulation of Phagocytosis (GO:0050766)	1/64	0.062119611868771706	0.10192080031163742	0	0	16.639097744360903	46.23495322747936	PRKCA
Aerobic Electron Transport Chain (GO:0019646)	1/64	0.062119611868771706	0.10192080031163742	0	0	16.639097744360903	46.23495322747936	NDUFB5
Retinoid Metabolic Process (GO:0001523)	1/64	0.062119611868771706	0.10192080031163742	0	0	16.639097744360903	46.23495322747936	RARRES2
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	1/65	0.06306050110792741	0.10224010238800066	0	0	16.37828947368421	45.26403459739593	NDUFB5
Anterior/Posterior Pattern Specification (GO:0009952)	1/65	0.06306050110792741	0.10224010238800066	0	0	16.37828947368421	45.26403459739593	LEFTY2
Cell-Cell Junction Assembly (GO:0007043)	1/67	0.06493959018370567	0.1046673394725609	0	0	15.880382775119617	43.421696050712754	PRKCA
Peptidyl-Serine Phosphorylation (GO:0018105)	1/70	0.06775151239299053	0.10607951083245373	0	0	15.187643020594965	40.88374528633187	PRKCA
Regulation of Heart Contraction (GO:0008016)	1/70	0.06775151239299053	0.10607951083245373	0	0	15.187643020594965	40.88374528633187	PRKCA
Negative Regulation of TOR Signaling (GO:0032007)	1/70	0.06775151239299053	0.10607951083245373	0	0	15.187643020594965	40.88374528633187	PRKCA
Spermatid Development (GO:0007286)	1/70	0.06775151239299053	0.10607951083245373	0	0	15.187643020594965	40.88374528633187	PIWIL1
Positive Regulation of Endothelial Cell Proliferation (GO:0001938)	1/70	0.06775151239299053	0.10607951083245373	0	0	15.187643020594965	40.88374528633187	PRKCA
Embryonic Organ Development (GO:0048568)	1/73	0.07055540028716217	0.10984192999251384	0	0	14.552631578947368	38.5842224505161	RARRES2
Peptidyl-Serine Modification (GO:0018209)	1/75	0.0724202061022377	0.11085551101683314	0	0	14.157894736842104	37.16829530659873	PRKCA
Regulation of Fat Cell Differentiation (GO:0045598)	1/75	0.0724202061022377	0.11085551101683314	0	0	14.157894736842104	37.16829530659873	RARRES2
Gland Development (GO:0048732)	1/75	0.0724202061022377	0.11085551101683314	0	0	14.157894736842104	37.16829530659873	NOTCH4
Positive Regulation of Protein Secretion (GO:0050714)	1/76	0.0733512756104792	0.11165694176261834	0	0	13.968421052631578	36.49243551909278	PRKCA
Proteolysis Involved in Protein Catabolic Process (GO:0051603)	1/80	0.07706668285007108	0.11551443215117581	0	0	13.258494337108594	33.982637627801715	YME1L1
Regulation of mRNA Stability (GO:0043488)	1/80	0.07706668285007108	0.11551443215117581	0	0	13.258494337108594	33.982637627801715	PRKCA
Positive Regulation of Organelle Organization (GO:0010638)	1/81	0.07799332097798367	0.11551443215117581	0	0	13.092105263157896	33.39968978978988	YME1L1
Aerobic Respiration (GO:0009060)	1/81	0.07799332097798367	0.11551443215117581	0	0	13.092105263157896	33.39968978978988	NDUFB5
Regulation of Catabolic Process (GO:0009894)	1/81	0.07799332097798367	0.11551443215117581	0	0	13.092105263157896	33.39968978978988	RARRES2
Regulation of Vesicle-Mediated Transport (GO:0060627)	1/82	0.07891907522821222	0.1162571323254309	0	0	12.929824561403509	32.8331213455501	ATP9A
Negative Regulation of Apoptotic Process (GO:0043066)	2/475	0.08073591030248853	0.11780708267130383	0	0	4.582334977683815	11.531775063283574	YME1L1;PRKCA
Cellular Respiration (GO:0045333)	1/85	0.08169104272827638	0.11780708267130383	0	0	12.466165413533835	31.225387249064404	NDUFB5
Regulation of Cell Division (GO:0051302)	1/85	0.08169104272827638	0.11780708267130383	0	0	12.466165413533835	31.225387249064404	YME1L1
Positive Regulation of Endocytosis (GO:0045807)	1/85	0.08169104272827638	0.11780708267130383	0	0	12.466165413533835	31.225387249064404	PRKCA
Regulation of Endothelial Cell Proliferation (GO:0001936)	1/87	0.0835346163259223	0.11867022071365124	0	0	12.175030599755202	30.224442437891277	PRKCA
Defense Response to Gram-negative Bacterium (GO:0050829)	1/87	0.0835346163259223	0.11867022071365124	0	0	12.175030599755202	30.224442437891277	RARRES2
Regulation of Endothelial Cell Migration (GO:0010594)	1/88	0.08445508408453282	0.11867022071365124	0	0	12.03448275862069	29.743650582678402	PRKCA
T Cell Receptor Signaling Pathway (GO:0050852)	1/88	0.08445508408453282	0.11867022071365124	0	0	12.03448275862069	29.743650582678402	BTK
Positive Regulation of Endothelial Cell Migration (GO:0010595)	1/88	0.08445508408453282	0.11867022071365124	0	0	12.03448275862069	29.743650582678402	PRKCA
Calcium-Mediated Signaling (GO:0019722)	1/91	0.0872112207421384	0.12191772695584654	0	0	11.631578947368421	28.37433281380585	BTK
Positive Regulation of Cell Adhesion (GO:0045785)	1/92	0.08812818006415338	0.1219551582705961	0	0	11.503181029496819	27.940800328399295	PRKCA
Regulation of Osteoblast Differentiation (GO:0045667)	1/92	0.08812818006415338	0.1219551582705961	0	0	11.503181029496819	27.940800328399295	PRKCA
Regulation of Insulin Secretion (GO:0050796)	1/93	0.08904426426227521	0.12199064203931705	0	0	11.377574370709382	27.518048057317102	PRKCA
Positive Regulation of Cellular Component Biogenesis (GO:0044089)	1/93	0.08904426426227521	0.12199064203931705	0	0	11.377574370709382	27.518048057317102	PRKCA
Positive Regulation of Phosphorylation (GO:0042327)	1/94	0.08995947412374057	0.12263132293485034	0	0	11.254668930390492	27.105699605992406	RARRES2
B Cell Activation (GO:0042113)	1/96	0.09178727400735918	0.12450353008919018	0	0	11.016620498614959	26.310792233027552	BTK
Regulation of TORC1 Signaling (GO:1903432)	1/97	0.09269986559485559	0.12511987594811488	0	0	10.901315789473685	25.927561451957157	PRKCA
Positive Regulation of Protein Modification Process (GO:0031401)	1/98	0.09361158601957499	0.12511987594811488	0	0	10.788388497015735	25.553389086720664	RARRES2
Defense Response to Gram-positive Bacterium (GO:0050830)	1/98	0.09361158601957499	0.12511987594811488	0	0	10.788388497015735	25.553389086720664	RARRES2
mRNA Metabolic Process (GO:0016071)	1/101	0.09634152806181742	0.12752453472916897	0	0	10.463157894736842	24.48228086178406	PRKCA
Hemopoiesis (GO:0030097)	1/101	0.09634152806181742	0.12752453472916897	0	0	10.463157894736842	24.48228086178406	NOTCH4
Positive Regulation of NF-kappaB Transcription Factor Activity (GO:0051092)	1/105	0.09996930200784186	0.13106023325429986	0	0	10.058704453441296	23.16411122367751	BTK
Positive Regulation of Protein-Containing Complex Assembly (GO:0031334)	1/105	0.09996930200784186	0.13106023325429986	0	0	10.058704453441296	23.16411122367751	BTK
Regulation of Macroautophagy (GO:0016241)	1/106	0.10087408130420863	0.1316166584635865	0	0	9.962406015037594	22.852586421851232	PRKCA
Protein Modification Process (GO:0036211)	2/545	0.10203220949007613	0.13249680284493298	0	0	3.9772866789441377	9.078024545145409	BTK;PRKCA
Cellular Response to Insulin Stimulus (GO:0032869)	1/108	0.10268104833642752	0.13271041152915633	0	0	9.775209050664044	22.249624223401657	RARRES2
Positive Regulation of Vasculature Development (GO:1904018)	1/109	0.10358323762718848	0.13324792070351943	0	0	9.68421052631579	21.95778295069413	PRKCA
Negative Regulation of Developmental Process (GO:0051093)	1/111	0.10538503169422438	0.13493223684213776	0	0	9.507177033492823	21.392428630708658	NOTCH4
Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway (GO:0141091)	1/114	0.10808127316539673	0.1369727301153881	0	0	9.253376804843969	20.587577159291506	AMHR2
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	1/114	0.10808127316539673	0.1369727301153881	0	0	9.253376804843969	20.587577159291506	BTK
Protein Processing (GO:0016485)	1/115	0.10897830352246207	0.1369727301153881	0	0	9.171745152354571	20.330149616722807	YME1L1
Positive Regulation of Cell Projection Organization (GO:0031346)	1/115	0.10897830352246207	0.1369727301153881	0	0	9.171745152354571	20.330149616722807	CHODL
Protein Complex Oligomerization (GO:0051259)	1/116	0.10987447679672734	0.13746852348083693	0	0	9.091533180778033	20.077893566776314	YME1L1
Positive Regulation of Epithelial Cell Proliferation (GO:0050679)	1/118	0.11166425512200431	0.13907275410649628	0	0	8.935222672064777	19.588319031503886	PRKCA
Response to Cytokine (GO:0034097)	1/123	0.11612375588274423	0.14397243942023494	0	0	8.566867989646246	18.445313149795798	PRKCA
Regulation of Mitotic Cell Cycle (GO:0007346)	1/124	0.11701310021259619	0.14442157413626738	0	0	8.496790757381259	18.229604422217157	PRKCA
Positive Regulation of Angiogenesis (GO:0045766)	1/126	0.11878923920788671	0.14595628494601326	0	0	8.36	17.810181245591682	PRKCA
Regulation of Protein Catabolic Process (GO:0042176)	1/129	0.12144708509484445	0.14855580944637223	0	0	8.162828947368421	17.209501461061883	PRKCA
Circulatory System Development (GO:0072359)	1/132	0.12409731426676934	0.15112295159597688	0	0	7.974688629971876	16.64069686633284	NOTCH4
Regulation of Protein Phosphorylation (GO:0001932)	1/137	0.1284974930534796	0.1557889960028912	0	0	7.679566563467493	15.757287045296094	RARRES2
Cellular Response to Starvation (GO:0009267)	1/141	0.1320025081276732	0.1593334239074117	0	0	7.458646616541353	15.10326978018187	YME1L1
Regulation of Cell Adhesion (GO:0030155)	1/142	0.1328766671456546	0.15968511753469017	0	0	7.405375139977604	14.946519655220376	PRKCA
Positive Regulation of Intracellular Signal Transduction (GO:1902533)	2/652	0.13721483321691705	0.16348857065713865	0	0	3.304273504273504	6.562972669887441	BTK;PRKCA
